Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
1109,I think it has to do with my working late.,Ross,neutral,neutral,113,5,1,10,"00:07:55,850","00:08:00,896"
1110,"I said some things that I didn't mean, and he- he threw some faeces...",Ross,neutral,neutral,113,6,1,10,"00:08:02,982","00:08:05,192"
1111,"Y'know, if you're gonna work late, I could look in on him for you.",Chandler,neutral,neutral,113,7,1,10,"00:08:08,613","00:08:11,281"
1113,"Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.",Ross,neutral,neutral,113,9,1,10,"00:08:13,618","00:08:19,789"
1114,"Okay, but if he asks, I'm not going to lie.",Chandler,neutral,neutral,113,10,1,10,"00:08:19,957","00:08:23,001"
1117,It says here that there?s a place you can go to rent videos of all the museums!,Chandler,surprise,positive,114,1,4,21,"00:21:33,667","00:21:37,128"
1118,"""It?s almost as good as being there.""",Chandler,neutral,neutral,114,2,4,21,"00:21:37,379","00:21:40,214"
1119,It?s better! You can?t go to a museum in your underwear!,Joey,joy,positive,114,3,4,21,"00:21:40,424","00:21:44,135"
1120,Oh-ho! I bet the British version is gooooood!,Joey,joy,positive,114,4,4,21,"00:22:00,027","00:22:03,070"
1122,"Yeah, I talked to you on the phone, I?m the lady that got stuck with the racecar bed.",Monica,neutral,neutral,115,1,3,7,"00:21:26,368","00:21:37,837"
1123,"Look, it?s like I told you, there?s nothing I can do. You signed for it, Monica Velula Geller.",Jester,neutral,neutral,115,2,3,7,"00:21:28,954","00:21:37,837"
1129,"So, this must be kinda neat for ya, huh?",Ross,neutral,neutral,116,0,3,10,"00:04:30,853","00:04:34,648"
1130,"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don?t have to sell those cookies anymore.",Ross,neutral,neutral,116,1,3,10,"00:04:34,816","00:04:40,737"
1131,"Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a",Sarah,sadness,negative,116,2,3,10,"00:04:42,282","00:04:49,788"
1132,"Wow, you ah, you really like all this space stuff, huh?",Ross,surprise,positive,116,3,3,10,"00:04:49,956","00:04:54,626"
1134,"My Dad says if I spend as much time helping him clean apartments, as I do daydreaming about outer space, he?d be able to afford a trip to the Taj Mahal.",Sarah,neutral,neutral,116,5,3,10,"00:04:58,506","00:05:08,348"
1135,I think you would have to clean a whole lot of apartments to go all the way to India.,Ross,neutral,neutral,116,6,3,10,"00:05:04,095","00:05:08,348"
1136,"No. The one in Atlantic City, Dad loves the slots. He says he?s gonna double the college money my Grandma left me.",Sarah,sadness,negative,116,7,3,10,"00:05:08,516","00:05:17,232"
1138,"Oh. Look, just friends, I won?t grope you. I promise.",Richard,neutral,neutral,117,1,3,13,"00:02:25,895","00:02:28,730"
1140,"No it?s not too soon, I had lunch at a eleven.",Richard,neutral,neutral,117,3,3,13,"00:02:31,776","00:02:34,528"
1141,I invented the game of Cups as a way to give Joey money.,Chandler,neutral,neutral,118,0,6,6,"00:21:09,017","00:21:12,311"
1144,"Chandler, what kind of an idiot do you take me for?",Ross,joy,positive,118,3,6,6,"00:21:16,149","00:21:18,526"
1146,"I?m sorry you lost your money, but I won it fair and square.",Ross,joy,positive,118,5,6,6,"00:21:22,072","00:21:25,241"
1148,But I can see through your sheet.,Joey,neutral,neutral,119,1,5,17,"0:14:48,471","0:14:50,735"
1151,"Doesn't matter, I'm never gonna get to meet her anyway.",Joey,sadness,negative,119,4,5,17,"00:14:53,475","00:14:58,354"
1153,"Because it's impossible to find her apartment! She lives in some like of hot girl parallel universe, or something.",Joey,sadness,negative,119,6,5,17,"00:14:58,522","00:15:04,527"
1154,"What are you talking about?  She obviously lives on the second floor, seventh apartment from the left!",Monica,surprise,positive,119,7,5,17,"00:15:05,446","00:15:10,633"
1155,No. No. No. She lives on the,Joey,neutral,neutral,119,8,5,17,"00:15:10,701","00:15:14,662"
1156,"No, those first two windows,  that's the lobby.",Monica,neutral,neutral,119,9,5,17,"00:15:14,830","00:15:18,082"
1157,"And y'know the other one over there, that's the stairway.",Monica,neutral,neutral,119,10,5,17,"0:15:18,292","0:15:20,878"
1160,"Monica, betting the apartment, I don?t know about this.",Rachel,fear,negative,120,0,4,12,"00:13:04,533","00:13:07,494"
1161,"Rachel, I have not missed one question the whole game. I own this game! Look at my hand.",Monica,joy,positive,120,1,4,12,"00:13:07,661","00:13:13,041"
1163,"No! Steady as a rock! Now, are you with me.",Monica,neutral,neutral,120,3,4,12,"00:13:16,629","00:13:19,839"
1164,"All right, let?s do it.",Rachel,fear,negative,120,4,4,12,"0:13:21,050","0:13:23,512"
1170,You have 30 seconds. And the lightning round begins?stop it ?now. What was Monica?s nickname when she was a field hockey goalie?,Ross,neutral,neutral,120,10,4,12,"00:13:27,431","00:13:34,687"
1176,"Well, look, why don?t you just, why don?t you do your Phase Two strip club thing with us.",Phoebe,neutral,neutral,121,0,4,14,"00:12:15,317","00:12:19,696"
1180,"You don?t want to be guys, you?d be all hairy and wouldn?t live as long.",Chandler,disgust,negative,121,4,4,14,"00:12:27,163","00:12:32,667"
1181,"Y?know you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",Phoebe,anger,negative,121,5,4,14,"00:12:31,375","00:12:39,716"
1184,"And y'know what, I just realised, in the last year I?ve only gone out with two guys, Richard and Julio.",Monica,surprise,negative,122,0,3,18,"00:06:44,320","00:06:53,120"
1185,"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",Monica,fear,negative,122,1,3,18,"00:06:49,492","00:06:53,120"
1186,"Well, that shouldn?t be a problem. I mean I work in fashion and all I meet are eligible straight men.",Rachel,neutral,neutral,122,2,3,18,"00:06:53,287","00:06:57,374"
1188,"Yeah, a slice of cheesecake and-and a date if you?re given? ?em out.",Pete,neutral,neutral,122,4,3,18,"00:07:02,880","00:07:05,757"
1190,"Hmm, come on, you just said to her that you?.",Pete,neutral,neutral,122,6,3,18,"00:07:08,386","00:07:11,930"
1191,"Aww, the only reason you want to go out with me because my blond wig, and the big boobs, and the fact that I serve you food.",Monica,joy,positive,122,7,3,18,"00:07:08,386","00:07:15,475"
1192,"Well, if that were true, I?d dating my Aunt Ruth.",Pete,joy,positive,122,8,3,18,"00:07:15,643","00:07:18,228"
1193,And the two times we went out were just plain awkward.,Pete,disgust,negative,122,9,3,18,"00:07:20,064","00:07:26,111"
1194,"Come on, you think she should go out with me, don?t you?",Pete,neutral,neutral,122,10,3,18,"00:07:24,235","00:07:30,574"
1195,"Well, I mean, are you sure you want to go out with her?",Rachel,neutral,neutral,122,11,3,18,"0:07:28,364","0:07:34,046"
1196,"I mean that ain?t a pretty picture in the morning, y?know what I mean.",Rachel,disgust,negative,122,12,3,18,"0:07:34,046","0:07:36,643"
1197,"That wig all in disarray, and boobs flung over the night stand, y'know.",Rachel,disgust,negative,122,13,3,18,"00:07:36,747","00:07:46,631"
1198,"I mean really, think about it.",Monica,neutral,neutral,122,14,3,18,"00:07:42,211","00:07:46,631"
1200,I believe I read that somewhere!,Chandler,surprise,positive,123,0,9,17,"00:05:06,252","00:05:08,921"
1201,"That only is not funny, it's physically impossible!",Ross,anger,negative,123,1,9,17,"0:05:09,672","0:05:12,342"
1203,Depending    on the species I'd have to have a six foot long...,Ross,anger,negative,123,3,9,17,"0:05:12,675","0:05:15,437"
1207,I can't believe you put that on my alumni page!,Ross,anger,negative,123,6,9,17,"00:05:21,851","00:05:24,187"
1208,Who cares? Nobody reads those things,Chandler,neutral,neutral,123,7,9,17,"00:05:24,395","00:05:27,023"
1209,You'd better hope not because I just read what you put on your    page today.,Ross,anger,negative,123,8,9,17,"00:05:27,231","00:05:29,484"
1211,Oh oh oh! I RESPECTFULLY DISAGREE!!,Ross,anger,negative,123,10,9,17,"0:05:30,568","0:05:33,089"
1212,I know I miss you too. I can't wait to see you. I love you. Bye.,Ross,joy,positive,124,0,5,6,"00:10:12,194","00:10:16,156"
1214,"No-no, this is my collection of fossil samples.",Ross,neutral,neutral,124,2,5,6,"00:10:18,993","00:10:21,911"
1216,"I'm really gonna miss this apartment. Y'know, Ben-Ben took his first steps right over there.",Ross,sadness,negative,124,4,5,6,"00:10:33,591","00:10:39,638"
1217,"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",Joey,joy,positive,124,5,5,6,"00:10:40,765","00:10:44,392"
1218,"I loved this place! To tell you the truth, I wish I didn't have to move.",Ross,joy,positive,124,6,5,6,"00:10:46,187","00:10:50,899"
1219,"Uhh, are you saying that you're not entirely happy about this?",Joey,surprise,negative,124,7,5,6,"00:10:51,067","00:10:56,321"
1220,"Well, I mean if uh, if Emily gave me a choice",Ross,sadness,negative,124,8,5,6,"00:10:56,530","00:10:59,032"
1223,"Hey, you guys! Look what I found in the giiiiiiift shop.  Get up! Get up! Get up!",Joey,joy,positive,124,11,5,6,"00:11:05,456","00:11:12,712"
1224,"I left a bra drying on the shower rod, you don?t think your son will think it?s yours and be horribly traumatised?",Emily,joy,positive,125,0,4,18,"00:02:30,400","00:02:35,445"
1225,"Hey, if mommy can have a wife, daddy can have a bra.",Ross,neutral,neutral,125,1,4,18,"00:02:35,613","00:02:38,323"
1227,"Oh, no-no-no, see, that-that clock?s a little fast, uh, we have 17 minutes.",Ross,neutral,neutral,125,3,4,18,"00:02:42,287","00:02:48,021"
1228,"Huh, what can we do in 17 minutes?",Ross,neutral,neutral,125,4,4,18,"00:02:48,209","00:02:51,295"
1233,"Morning?s here! Sunshine is here! The sky is clear, the morning?s here! The morning?s here!",The Singing Man,joy,positive,126,0,4,19,"00:00:06,756","00:00:22,271"
1235,Oh come on! Morning?s here!  Morning?s here! The morning is here! Sunshine is here!,The Singing Man,joy,positive,126,2,4,19,"00:00:29,029","00:00:36,160"
1237,Are you kidding? I love that guy!  Morning?s here! Morning is here?,Joey,joy,positive,126,4,4,19,"00:00:56,181","00:01:03,187"
1238,Stop it! I will kill you. I hate the fact that my room is so small.,Rachel,anger,negative,126,5,4,19,"00:01:03,354","00:01:12,738"
1239,"Hey, I have all the space I need. Just do what I did.",Monica,neutral,neutral,126,6,4,19,"00:01:12,906","00:01:15,616"
1240,"Monica, you don?t even have a bed, you sleep in a ball on the floor!",Rachel,anger,negative,126,7,4,19,"00:01:15,784","00:01:19,661"
1246,"All right buddy, time to roll over.",Chandler,neutral,neutral,127,0,4,20,"00:08:06,694","00:08:09,196"
1249,You are going to a clinic!,Chandler,disgust,negative,127,3,4,20,"00:08:16,496","00:08:19,748"
1250,"You?re going to a clinic, and a pyjama store!",Chandler,disgust,negative,127,4,4,20,"00:08:21,375","00:08:32,469"
1253,"Great, let?s begin.  How?s the pressure?",Phoebe,joy,positive,128,2,8,14,"00:07:33,200","00:07:45,400"
1254,Nice! Wow Phoebe you are good!,Monica,joy,positive,128,3,8,14,"00:07:46,240","00:07:49,320"
1255,"Stating the obvious, but thank you. And it?s not weird is it.",Phoebe,joy,positive,128,4,8,14,"00:07:49,560","00:07:56,400"
1257,"That?s right, you just enjoy.",Phoebe,neutral,neutral,128,6,8,14,"00:07:58,440","00:08:01,400"
1258,Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah!,Monica,joy,positive,128,7,8,14,"00:08:03,400","00:08:14,800"
1260,Oh God Phoebe!!  Oh that?s it! That?s it! Right there! Oh!  Ooooh-oooh-ooooh,Monica,joy,positive,128,9,8,14,"00:08:15,480","00:08:22,600"
1268,I am hurt!  A plague on both your houses!,The Director,sadness,negative,129,1,3,22,"00:10:08,149","00:10:17,198"
1269,"By the way, he dumped me tonight after he read my review.",Kate,sadness,negative,129,2,3,22,"00:10:19,076","00:10:22,746"
1271,"Yep! I sure know how to pick ?em, huh? Y'know I gave up a part on a soap for this!",Kate,sadness,negative,129,4,3,22,"00:10:25,291","00:10:32,589"
1272,"Wow! Yeah I ah, I gave up a job too.",Joey,anger,negative,129,5,3,22,"00:10:33,174","00:10:37,719"
1277,We?ll stop by every news stand and burn every copy of their Times and the Post.,Joey,anger,negative,129,10,3,22,"00:10:45,728","00:10:49,939"
1282,Hi Joey! What are you doing here?,Rachel,joy,positive,130,0,7,5,"00:06:00,902","00:06:03,362"
1283,"Uhh, well I?ve got an audition down the street and I spilled sauce all over the front of my shirt.  You got an extra one?",Joey,neutral,neutral,130,1,7,5,"00:06:03,529","00:06:12,496"
1285,Great.  You got anything that?s not,Joey,disgust,negative,130,3,7,5,"00:06:15,833","00:06:20,587"
1288,"Hey, listen umm, what-what are you doing tonight?",Rachel,neutral,neutral,130,6,7,5,"0:06:28,054","0:06:30,406"
1290,How would you feel about taking out my assistant Tag? I?ll pay.,Rachel,neutral,neutral,130,8,7,5,"00:06:31,641","00:06:35,769"
1291,"Huh, Rach I got to say it?s gonna take a lot of money for me to go out on a date with a dude.",Joey,disgust,negative,130,9,7,5,"00:06:35,937","00:06:40,190"
1292,I?m not asking you to go on a,Rachel,neutral,neutral,130,10,7,5,"00:06:41,692","00:06:44,611"
1293,Really? ?Cause I could kinda use the money.,Joey,surprise,negative,130,11,7,5,"00:06:44,779","00:06:47,739"
1294,"Joey, just-just he-he?s new in town and I know he doesn?t have any guy friends.",Rachel,neutral,neutral,130,12,7,5,"0:06:48,741","0:06:53,079"
1302,"Problem odour in the litter box? Don?t change your kitty, change your kitty litter.",Commercial,neutral,neutral,131,0,3,14,"00:21:13,313","00:21:24,532"
1305,"No! Sorry, I just thought you were somebody else. Hi!",Rachel,surprise,positive,132,0,3,15,"00:16:06,924","00:16:10,677"
1306,"Hi. Well, look, I was just gonna leave a message, isn?t tonight your, your big anniversary dinner?",Mark,neutral,neutral,132,1,3,15,"00:16:10,844","00:16:15,515"
1311,"No! Really, no, please, please, that?s, that?s okay.",Rachel,sadness,negative,132,6,3,15,"00:16:25,526","00:16:28,236"
1312,"All right, all right, I?m coming over, and I?m bringing Chinese food.",Mark,neutral,neutral,132,7,3,15,"00:16:28,404","00:16:30,655"
1320,"I'm doing research for a book, and I was wondering what someone might do if they left a baby on a city bus.",Chandler,neutral,neutral,135,2,2,6,"00:13:48,369","00:13:56,042"
1324,"It's white plastic, with a handle, and it fits onto a stroller.",Joey,neutral,neutral,135,6,2,6,"00:14:01,966","00:14:04,592"
1325,"Oh, and there was a baby in it.",Joey,neutral,neutral,135,7,2,6,"00:14:04,760","00:14:07,220"
1331,"Let me start by uh, by introducing myself, I am Professor Geller.",Ross,neutral,neutral,136,4,8,12,"00:06:35,645","00:06:41,650"
1332,"So to sum up, I?m Professor Geller.",Ross,neutral,neutral,136,5,8,12,"0:06:43,444","0:06:47,532"
1336,I'm one of the people who applied for the apartment.,Ross,neutral,neutral,137,2,5,14,"00:13:37,525","00:13:39,734"
1337,And I-I realize that the competition is fierce but?I'm sorry.,Ross,neutral,neutral,137,3,5,14,"00:13:39,902","00:13:51,663"
1339,"Man, I wish I was naked.",Ross,neutral,neutral,137,5,5,14,"00:13:56,502","00:13:59,379"
1340,"I mean, this-this looks so great.",Ross,joy,positive,137,6,5,14,"00:13:59,630","00:14:03,049"
1341,That is how God intended it.,Ross,neutral,neutral,137,7,5,14,"00:14:03,425","00:14:06,052"
1342,"Okay, I have to tell you something that I have never admitted during our entire friendship!",Rachel,anger,negative,138,0,5,12,"00:11:52,795","00:11:55,964"
1343,"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",Rachel,anger,negative,138,1,5,12,"00:11:56,132","00:12:00,343"
1346,My turn? What-what are you talking about?,Monica,surprise,positive,138,4,5,12,"00:12:05,349","00:12:07,892"
1347,"Ugh, Monica, I know about you and Chandler.",Rachel,disgust,negative,138,5,5,12,"00:12:08,102","00:12:12,313"
1349,"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours.""",Rachel,neutral,neutral,138,7,5,12,"00:12:14,650","00:12:21,531"
1352,Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,Monica,joy,positive,138,10,5,12,"00:12:36,756","00:12:44,304"
1353,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",Rachel,anger,negative,138,11,5,12,"00:12:44,472","00:12:51,603"
1354,"Well, if you had kept listening, you-you would have heard me call him Mr. Big??ot.",Monica,neutral,neutral,138,12,5,12,"00:12:49,143","00:12:57,650"
1356,Mr. Bigot. He tells the most,Monica,neutral,neutral,138,14,5,12,"00:12:57,818","00:13:04,574"
1357,All right. So you're telling me that there is nothing going on between you and Chandler.,Rachel,anger,negative,138,15,5,12,"00:13:08,329","00:13:11,956"
1359,"I really thought you making a good point. I mean y'know, until you got cut off.",Phoebe,neutral,neutral,139,0,5,9,"00:21:37,504","00:21:41,674"
1362,All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,Monica,joy,positive,139,3,5,9,"00:21:48,557","00:21:54,854"
1364,Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,Monica,joy,positive,139,5,5,9,"00:21:55,105","00:22:02,778"
1365,"Okay I?ve got one for you, if you had too which one would you rather eat, a seeing eye dog or a talking gorilla?",Phoebe,neutral,neutral,140,0,8,24,"00:03:34,911","00:03:42,460"
1366,"I?d have to say?the talking gorilla, because at least I can explain to him that you?re making me eat him.",Cliff,neutral,neutral,140,1,8,24,"00:03:49,342","00:04:00,436"
1367,Somebody went to college. Wow.  What is it? I?m sorry.,Phoebe,surprise,negative,140,2,8,24,"00:03:58,184","00:04:06,150"
1368,"Okay, I hear you loud and clear. Bob will stay put.",Mr. Franklin,neutral,neutral,141,0,8,5,"00:07:59,937","00:08:04,024"
1369,I think it?s best sir.,Chandler,neutral,neutral,141,1,8,5,"00:08:01,606","00:08:04,024"
1372,I?ve got a stack of documents on my desk this high.,Mr. Franklin,neutral,neutral,141,4,8,5,"00:08:08,070","00:08:11,156"
1373,"Y?know what you should do, just toss ?em in the shedder and claim you never got ?em.",Chandler,neutral,neutral,141,5,8,5,"00:08:13,659","00:08:18,997"
1375,What does a guy have to,Chandler,neutral,neutral,141,7,8,5,"00:08:19,499","00:08:24,044"
1376,"Yeah, yeah, everybody's here. Hey, everybody, say hi to Julie in New Mexico.",Ross,neutral,neutral,142,0,2,5,"00:03:11,566","00:03:16,820"
1378,Isn?t there a national football league.,Phoebe,neutral,neutral,143,0,3,9,"00:21:49,891","00:21:52,935"
1379,"Yes. Yes, there is, they play on Sundays and Monday nights.",Chandler,neutral,neutral,143,1,3,9,"00:21:53,854","00:21:56,605"
1380,Oh shoot! I work Monday nights.,Rachel,sadness,negative,143,2,3,9,"00:21:56,773","00:21:59,400"
1381,"Umm, this stuffing is amazing. Do you think we should bring them some?",Phoebe,joy,positive,143,3,3,9,"00:22:02,070","00:22:05,948"
1384,"I don?t know. You uh, you got something for me?",Joey,neutral,neutral,144,1,7,5,"00:15:06,530","00:15:08,907"
1386,Ten. Okay. Now Tag there?s such a thing as too many women.,Joey,neutral,neutral,144,3,7,5,"00:15:13,996","00:15:19,250"
1389,"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",Chandler,surprise,negative,145,0,1,20,"00:05:09,309","00:05:21,320"
1394,I want her to think I might be in a restaurant.. y'know?,Chandler,fear,negative,145,5,1,20,"0:05:33,959","0:05:36,229"
1395,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",Chandler,anger,negative,145,6,1,20,"00:05:36,336","00:05:42,966"
1396,"Look look! He's doing it again, the guy with the telescope!",Monica,surprise,negative,145,7,1,20,"00:05:43,301","00:05:52,934"
1397,Oh my God!  Go away!  Stop looking in here!,Phoebe,anger,negative,145,8,1,20,"00:05:45,720","00:05:52,934"
1398,"Great, now he's waving back.",Monica,disgust,negative,145,9,1,20,"00:05:53,102","00:05:55,729"
1400,"This morning, I caught him looking into our apartment.",Joey,disgust,negative,145,11,1,20,"00:05:58,983","00:06:01,318"
1404,"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",Joey,disgust,negative,145,15,1,20,"00:06:08,993","00:06:14,664"
1406,"Yeah, toast, oatmeal... nothing that spatters.",Joey,neutral,neutral,145,17,1,20,"00:06:18,544","00:06:21,713"
1407,What are you looking at me for? I didn't know that.,Chandler,surprise,negative,145,18,1,20,"00:06:25,176","00:06:27,719"
1408,Y'know they say a watched pot never beeps.,Monica,neutral,neutral,146,0,3,14,"00:11:29,814","00:11:33,149"
1409,"It?s just y'know, been a couple of hours, and she hasn?t called. Not that I even care, y'know.",Phoebe,sadness,negative,146,1,3,14,"00:11:38,948","00:11:46,538"
1410,Phoebe why don?t you just call her? You obviously want to.,Monica,neutral,neutral,146,2,3,14,"00:11:44,328","00:11:48,790"
1415,That?s what I said.,Phoebe,neutral,neutral,146,7,3,14,"0:11:56,633","0:11:58,887"
1419,"She dumped me, I mean I totally trusted her and then one day it was ?Okay, bye Pheebs? gone.",Phoebe,sadness,negative,146,11,3,14,"00:12:03,764","00:12:11,020"
1420,"Y'know what the saddest part is, when we were playing together, that was like the most fun I?ve ever had in like all my lives.",Phoebe,sadness,negative,146,12,3,14,"00:12:12,648","00:12:20,864"
1421,"Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel.",Ross,neutral,neutral,147,0,1,5,"00:07:08,803","00:07:12,389"
1422,"Oh. Well, hold on camper, are you sure you've thought this thing through?",Chandler,neutral,neutral,147,1,1,5,"00:07:13,766","00:07:16,852"
1423,It's laundry. The thinking through is minimal.,Ross,neutral,neutral,147,2,1,5,"00:07:17,103","00:07:20,272"
1424,"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Chandler,joy,positive,147,3,1,5,"00:07:21,399","00:07:26,027"
1427,"So what're you saying here? I should shave again, pick up some wine, what?",Ross,surprise,negative,147,6,1,5,"00:07:33,703","00:07:37,539"
1428,"Well, you may wanna rethink the dirty underwear.",Chandler,disgust,negative,147,7,1,5,"00:07:37,790","00:07:41,126"
1429,This is basically the first time she's gonna see your underwear?you want it to be dirty?,Chandler,surprise,negative,147,8,1,5,"00:07:42,420","00:07:46,548"
1432,"Ok, ok, now what is wrong with my",Ross,anger,negative,147,11,1,5,"00:07:56,017","00:07:58,810"
1434,"Ok, so it's just because it was my table, I have to buy a new one?",Chandler,anger,negative,148,0,1,12,"00:07:31,909","00:07:35,036"
1436,"What rule? There's no rule, if anything, you owe me a table!",Chandler,anger,negative,148,2,1,12,"00:07:37,999","00:07:41,543"
1437,How'd you get to that?,Joey,anger,negative,148,3,1,12,"00:07:41,961","00:07:45,088"
1438,"Well, I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio",Chandler,anger,negative,148,4,1,12,"00:07:45,256","00:07:47,996"
1440,"Well, let's just say the impressions you made in the butter left little to the imagination.",Chandler,disgust,negative,148,6,1,12,"00:07:50,094","00:07:57,100"
1444,You think we're ready for something like that?,Chandler,neutral,neutral,148,10,1,12,"00:08:01,772","00:08:03,982"
1446,"Well, it's a pretty big commitment, I mean, what if one of us wants to move out?",Chandler,neutral,neutral,148,12,1,12,"00:08:07,278","00:08:09,821"
1451,"Aw, I know all about Kip!",Joey,anger,negative,148,17,1,12,"0:08:16,559","0:08:19,421"
1452,"It's just that we bought a hibachi together, and then he ran off and got married, and things got pretty ugly.",Chandler,anger,negative,148,18,1,12,"00:08:19,540","00:08:23,877"
1453,"Well, let me ask you something, was Kip a better roommate than me?",Joey,sadness,negative,148,19,1,12,"00:08:24,921","00:08:28,798"
1455,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,sadness,negative,149,0,8,7,"00:13:57,294","00:14:01,172"
1456,"Oh no, stay here we?ll keep doing this. I?ll pay you.",Eric,neutral,neutral,149,1,8,7,"00:14:01,340","00:14:04,592"
1457,"No, I got in trouble for that before. I?ll see you later.",Phoebe,neutral,neutral,149,2,8,7,"00:14:05,469","00:14:11,766"
1460,"Aw forget it, it?s from",Ross,neutral,neutral,150,1,8,8,"00:11:01,952","00:11:04,663"
1461,You think you can knock up my daughter and then not marry her?! I?m gonna kill you!!,Dr. Green,anger,negative,150,2,8,8,"00:11:14,382","00:11:20,553"
1462,Y?know this is actually not a great time for me.,Ross,sadness,negative,150,3,8,8,"00:11:22,932","00:11:25,475"
1463,"Okay! So, we?ll just stay married.",Rachel,joy,positive,151,0,6,1,"00:12:18,404","00:12:21,156"
1465,And I will make everyone call me Mrs. Geller!,Rachel,joy,positive,151,2,6,1,"00:12:22,867","00:12:26,661"
1466,"Wow! This is so amazing. I uh, I really thought I?d have to talk you into this more.",Ross,joy,positive,151,3,6,1,"00:12:28,247","00:12:34,002"
1469,What-wh-what so we?ll just stay married forever?!,Rachel,surprise,negative,151,6,6,1,"00:12:56,233","00:12:58,735"
1470,"Okay, look, how is this gonna affect you?",Ross,neutral,neutral,151,7,6,1,"00:12:59,153","00:13:03,573"
1472,I mean you fill some form out once and a while and instead of checking the box that says Ms you check the box that says Mrs.!,Ross,joy,positive,151,9,6,1,"00:13:06,327","00:13:17,045"
1474,"Ohh, okay, I?m sorry.",Rachel,sadness,negative,151,11,6,1,"0:13:19,131","0:13:21,509"
1478,I?m asking you to do me a favor.,Ross,neutral,neutral,151,15,6,1,"00:13:39,401","00:13:44,072"
1479,You are asking me to be your wife!,Rachel,anger,negative,151,16,6,1,"00:13:46,116","00:13:49,911"
1480,And as my wife I think you should grant me this favor.,Ross,neutral,neutral,151,17,6,1,"00:13:50,120","00:13:55,041"
1482,"I know, I know, I'm such an idiot.",Paul,joy,positive,152,1,1,1,"00:10:24,498","00:10:28,793"
1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,neutral,152,4,1,1,"00:10:36,427","00:10:40,680"
1486,"Well, you might try accidentally breaking something valuable of hers, say her-",Paul,neutral,neutral,152,5,1,1,"00:10:40,890","00:10:44,392"
1494,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",Rachel,sadness,negative,152,11,1,1,"00:10:56,614","00:11:06,706"
1495,"No real-, honey, really it?s fine, just g-go with Susan.",Ross,neutral,neutral,153,0,3,6,"00:09:15,304","00:09:21,851"
1496,"Really, I, no, I think girls night out is a great idea.",Ross,joy,positive,153,1,3,6,"00:09:20,768","00:09:25,146"
1499,"I don?t know, something girlie.",Ross,joy,positive,153,4,3,6,"0:09:30,487","0:09:32,851"
1502,I?m just taking it to be re-wired.,Phoebe,neutral,neutral,153,7,3,6,"00:09:40,580","00:09:51,965"
1503,"Oh, well don?t take it to the same place you took the stereo, ?cause they?ve had that thing for over a week.",Monica,disgust,negative,153,8,3,6,"00:09:44,333","00:10:00,015"
1504,"No, no, Mr. Heckles no one is making any noise up here.",Phoebe,neutral,neutral,153,9,3,6,"00:09:56,512","00:10:00,015"
1505,You?re disturbing my oboe practice.,Mr. Heckles,anger,negative,153,10,3,6,"00:10:00,558","00:10:02,934"
1508,Ohhh! That is soo sweet!,Rachel,joy,positive,154,0,3,12,"00:13:59,713","00:14:02,799"
1509,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",Mark,joy,positive,154,1,3,12,"00:14:03,759","00:14:14,018"
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,"00:14:18,023","00:14:20,817"
1514,I have been down in your store for twenty minutes trying to get a tie!,Ross,anger,negative,154,6,3,12,"00:14:27,408","00:14:31,953"
1515,What do I have to do to get some service?!,Ross,anger,negative,154,7,3,12,"00:14:34,081","00:14:36,791"
1519,Hey it?s Mona! From the wedding.,Mona,joy,positive,155,2,8,5,"00:20:40,572","00:20:43,074"
1523,"I?m good except umm, you still owe me a dance.",Mona,neutral,neutral,155,6,8,5,"00:20:49,665","00:20:56,170"
